Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,680uF,
"C10, C8, C9",CP_Radial_D8.0mm_P3.50mm,3,100uF,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C35, C36",0805,24,100nF,
C2,CP_Radial_D8.0mm_P3.50mm,1,220uF,
"C3, C4, C7",0805,3,10uF,
"C5, C6",0805,2,22pF,
"D1, D2",D_DO-201AD_P15.24mm_Horizontal,2,1N5822,
D3,0805,1,LED_BAT,
D4,0805,1,LED_CAL,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,BATERIA 12V,
J10,PinHeader_1x05_P2.54mm_Vertical,1,Screw_Terminal_01x05,
"J11, J12, J13, J14, J17, J9",PinHeader_1x02_P2.54mm_Vertical,6,FCarrera,
J19,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,J_SENSOR_TEMP,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,5f0857756ylz,
J3,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,1,DE9_Pins,
"J4, J5, J6","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",3,Motor,
J7,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Manta_Asiento,
J8,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,1,DE9_Socket,
L1,L_Radial_D10.0mm_P5.00mm_Fastron_07M,1,33uH,
Q1,TO-220-3_Vertical,1,IRLZ44N,
"R1, R11, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R27, R3, R5",0805,17,10k,
R10,0805,1,330,
R12,0805,1,1k,
R2,0805,1,120,
"R25, R26",0805,2,4.7k,
"R4, R6",0805,2,"4,7k",
"R7, R8, R9",0805,3,30k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7",SW_PUSH_6mm,7,SW_Push,
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,PIC24HJ128GP502,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,
U11,DIP-16_W7.62mm,1,PCF8574AP,
U2,TO-263-5_TabPin3,1,LM2596S-5,
U3,TO-252-3_TabPin2,1,LM1117DT-3.3,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
U5,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
"U6, U7, U8",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,3,DRV8871DDA,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC256,
Y1,Crystal_HC49-U_Vertical,1,8MHz,
