Designator,Mid X,Mid Y,Rotation,Layer
C1,92.75,-132.3,90.0,top
C10,99.15,-98.3,0.0,top
C11,121.1,-81.1,90.0,top
C12,165.25,-97.94,0.0,top
C13,160.95,-97.94,0.0,top
C14,160.75,-92.64,0.0,top
C15,157.35,-97.94,0.0,top
C16,165.0,-66.925,90.0,top
C17,165.0,-71.525,90.0,top
C18,161.7,-142.3675,180.0,top
C19,174.35,-142.0,180.0,top
C2,117.95,-134.477651,90.0,top
C20,161.9,-131.1175,180.0,top
C21,174.3,-130.65,180.0,top
C22,147.885,-131.375,180.0,top
C23,165.21,-62.055,90.0,top
C24,147.885,-142.875,180.0,top
C25,135.27,-133.82,270.0,top
C26,135.27,-128.82,90.0,top
C27,165.2,-76.275,90.0,top
C28,165.2,-80.925,90.0,top
C29,114.15,-63.8,180.0,top
C3,116.45,-142.975,90.0,top
C30,157.1,-93.54,90.0,top
C31,143.8,-80.45,180.0,top
C32,143.8,-84.05,180.0,top
C35,165.21,-57.455,90.0,top
C36,129.74,-109.25,180.0,top
C4,116.910419,-125.43,0.0,top
C5,125.15,-95.0,0.0,top
C6,125.15,-98.9,0.0,top
C7,145.55,-96.4,180.0,top
C8,99.15,-58.05,0.0,top
C9,99.15,-78.15,0.0,top
D1,91.25,-112.35,180.0,top
D2,90.4,-141.58,180.0,top
D3,87.425,-124.65,180.0,top
D4,132.8625,-68.6,0.0,top
J1,85.6775,-102.195,270.0,top
J10,121.82,-84.7,270.0,top
J11,175.23,-71.565,270.0,top
J12,175.23,-76.155,270.0,top
J13,175.23,-80.745,270.0,top
J14,175.24,-57.365,270.0,top
J17,175.24,-61.955,270.0,top
J19,116.745,-50.025,180.0,top
J2,143.055,-49.7175,180.0,top
J3,129.37,-140.78,0.0,top
J4,85.9775,-55.645,270.0,top
J5,85.7275,-89.395,270.0,top
J6,85.9275,-69.795,270.0,top
J7,129.16,-49.93,180.0,top
J8,169.22,-113.34,90.0,top
J9,175.23,-66.975,270.0,top
L1,106.75,-145.8,0.0,top
Q1,138.46,-62.7,0.0,top
R1,128.85,-103.7375,90.0,top
R10,135.92,-67.8125,270.0,top
R11,130.62,-59.9125,90.0,top
R12,83.45,-124.65,0.0,top
R13,169.7,-76.2625,270.0,top
R14,169.7,-66.9625,270.0,top
R15,169.7,-71.5625,270.0,top
R16,138.0,-107.2,0.0,top
R17,147.8725,-140.525,0.0,top
R18,161.65,-139.5675,0.0,top
R19,161.8075,-128.36,0.0,top
R2,127.12,-135.2,0.0,top
R20,174.2375,-128.25,0.0,top
R21,169.81,-61.9925,270.0,top
R22,174.3375,-139.4,0.0,top
R23,169.7,-80.9625,270.0,top
R24,169.71,-57.3925,270.0,top
R25,147.3875,-102.1,0.0,top
R26,147.3875,-100.0,0.0,top
R27,147.8725,-129.025,0.0,top
R3,109.98,-50.9125,270.0,top
R4,115.3,-67.9,90.0,top
R5,127.0,-81.0375,90.0,top
R6,113.2,-67.8875,90.0,top
R7,103.6,-66.2075,90.0,top
R8,104.705,-47.2125,90.0,top
R9,103.41,-86.8125,90.0,top
SW1,132.0,-77.95,270.0,top
SW2,156.3,-131.3,90.0,top
SW3,168.9,-142.6,90.0,top
SW4,168.76,-131.49,90.0,top
SW5,142.425,-143.775,90.0,top
SW6,142.375,-132.425,90.0,top
SW7,156.2,-142.78,90.0,top
U1,135.85,-94.485,270.0,top
U10,160.525,-104.265,180.0,top
U11,137.51,-117.11,90.0,top
U2,105.95,-129.875,90.0,top
U3,118.085419,-116.615,90.0,top
U4,126.145,-127.355,90.0,top
U5,112.68,-76.08,90.0,top
U6,97.775,-68.995,180.0,top
U7,99.325,-49.995,180.0,top
U8,97.85,-89.7,180.0,top
U9,123.475,-71.005,90.0,top
Y1,120.3,-97.1,270.0,top
