"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","680uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C2","220uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C3,C4,C7","10uF","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C5,C6","22pF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C8,C9,C10","100uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","3",""
"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C35,C36","100nF","~","Capacitor_SMD:C_0805_2012Metric","24",""
"D1,D2","1N5822","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","2",""
"D3","LED_BAT","~","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED_CAL","~","LED_SMD:LED_0805_2012Metric","1",""
"J1","BATERIA 12V","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J2","5f0857756ylz","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J3","DE9_Pins","~","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm","1",""
"J4,J5,J6","Motor","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","3",""
"J7","Manta_Asiento","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J8","DE9_Socket","~","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm","1",""
"J9,J11,J12,J13,J14,J17","FCarrera","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","6",""
"J10","Screw_Terminal_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J19","J_SENSOR_TEMP","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"L1","33uH","~","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Fastron_07M","1",""
"Q1","IRLZ44N","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1,R3,R5,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R27","10k","~","Resistor_SMD:R_0805_2012Metric","17",""
"R2","120","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4,R6","4,7k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R7,R8,R9","30k","~","Resistor_SMD:R_0805_2012Metric","3",""
"R10","330","~","Resistor_SMD:R_0805_2012Metric","1",""
"R12","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R25,R26","4.7k","~","Resistor_SMD:R_0805_2012Metric","2",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","7",""
"U1","PIC24HJ128GP502","http://ww1.microchip.com/downloads/en/DeviceDoc/70291G.pdf","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","1",""
"U2","LM2596S-5","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U3","LM1117DT-3.3","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1",""
"U4","MCP2562-E-SN","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U5","PCA9685BS","http://www.nxp.com/docs/en/data-sheet/PCA9685.pdf","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","1",""
"U6,U7,U8","DRV8871DDA","http://www.ti.com/lit/ds/symlink/drv8871.pdf","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","3",""
"U9","24LC256","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U10","MAX3232","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"U11","PCF8574AP","https://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"Y1","8MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
